provincia_std,depto_std,n_registros,n_asegurados,hectareas
CORDOBA,R.S.PENA,125,28,14872.93
BUENOS AIRES,PUAN,59,8,12425.0
BUENOS AIRES,GRAL. VILLEGAS,40,15,12375.0
LA PAMPA,CONELO,67,20,11509.0
CORDOBA,TERCERO ARRIBA,96,25,8255.0
BUENOS AIRES,LINCOLN,86,19,7408.0
CORDOBA,SAN JUSTO,69,16,7282.0
CORDOBA,GRAL. ROCA,28,9,6836.0
CORDOBA,RIO CUARTO,61,14,6806.84
LA PAMPA,QUEMU QUEMU,54,15,6688.0
CORDOBA,JUAREZ CELMAN,48,13,6532.0
LA PAMPA,RANCUL,15,3,5516.0
LA PAMPA,CHAPALEUFU,55,10,4676.5
BUENOS AIRES,ADOLFO ALSINA,17,7,3414.0
BUENOS AIRES,9 DE JULIO,19,6,2711.7
CORDOBA,SANTA MARIA,26,4,2701.0
BUENOS AIRES,GRAL VILLEGAS,23,6,2602.5
LA PAMPA,MARACO,17,5,2325.5
LA PAMPA,CATRILO,10,2,1976.0
SANTA FE,ROSARIO,41,14,1700.0
BUENOS AIRES,RIVADAVIA,5,5,1565.0
LA PAMPA,HUCAL,4,1,1492.0
LA PAMPA,TRENEL,10,3,1488.0
BUENOS AIRES,BALCARCE,7,3,1447.0
BUENOS AIRES,MAIPU,10,1,1272.1100000000001
CORDOBA,CORONEL SUAREZ,5,2,1225.0
CORDOBA,RIO PRIMERO,8,3,1212.0
CORDOBA,SAN MARTIN,13,3,1157.0
BUENOS AIRES,CORONEL SUAREZ,5,3,1099.0
SANTA FE,SAN MARTIN,5,4,1040.0
BUENOS AIRES,BOLIVAR,2,1,907.0
BUENOS AIRES,LN ALEM,13,3,901.0
SANTA FE,GENERAL LOPEZ,8,4,807.5
BUENOS AIRES,TANDIL,11,4,749.5
CORDOBA,J. CELLMAN,9,1,737.0
BUENOS AIRES,CARLOS TEJEDOR,6,2,709.0
BUENOS AIRES,PEHUAJO,6,3,659.0
CORDOBA,ROQUE S. PENA,6,1,600.0
SANTA FE,BELGRANO,8,6,557.0
CORDOBA,UNION,6,2,528.0
BUENOS AIRES,GRAL PINTO,6,5,523.0
LA PAMPA,CAPITAL,4,3,520.0
BUENOS AIRES,ITURREGUI,6,1,510.0
SAN LUIS,GRAL PEDERNERA,2,2,440.0
SANTA FE,GRALSANMARTIN,8,4,413.0
BUENOS AIRES,COLON,6,2,384.8
BUENOS AIRES,PERGAMINO,3,3,366.0
BUENOS AIRES,VENADO TUERTO,2,1,366.0
SANTA FE,CASEROS,7,5,269.0
BUENOS AIRES,RAMALLO,6,1,268.0
BUENOS AIRES,EXALTACION DE LA CRUZ,1,1,246.0
BUENOS AIRES,L. N ALEM,4,3,233.0
BUENOS AIRES,DAIREAUX,1,1,230.1
LA PAMPA,SANTA TERESA,3,1,217.0
BUENOS AIRES,CHIVILCOY,1,1,216.5
BUENOS AIRES,TRES LOMAS,4,2,199.0
CORDOBA,TOTORAL,1,1,180.0
BUENOS AIRES,SALLIQUELO,1,1,173.0
BUENOS AIRES,JUNIN,3,2,170.0
BUENOS AIRES,GENERAL ARENALES,3,2,166.0
BUENOS AIRES,25 DE MAYO,2,1,153.0
CORDOBA,RIO TERCERO,2,1,153.0
BUENOS AIRES,LOBERIA,1,1,143.0
CORDOBA,GRALSANMARTIN,2,1,120.0
BUENOS AIRES,TORNQUIST,1,1,110.0
BUENOS AIRES,BENITO JUAREZ,1,1,90.0
SANTA FE,ROASRIO,6,3,84.0
CORDOBA,SAN JAVIER,1,1,80.0
BUENOS AIRES,GRALARENALES,1,1,73.0
BUENOS AIRES,GUAMINI,1,1,70.0
BUENOS AIRES,SAAVEDRA,2,1,68.0
BUENOS AIRES,PILA,1,1,63.5
BUENOS AIRES,BRAGADO,1,1,63.0
BUENOS AIRES,ROJAS,2,2,55.0
BUENOS AIRES,MAPIS,2,1,44.0
BUENOS AIRES,CHASCOMUS,2,1,41.5
SANTA FE,IRIONDO,1,1,36.0
BUENOS AIRES,CAPITAN SARMIENTO,1,1,31.0
